date,open,high,low,close,volume,change
06apr2001,1151.4399,1151.4399,1119.29,1128.4301,12668,-23.009888
09apr2001,1128.4301,1146.13,1126.38,1137.59,10628,9.1599121
10apr2001,1137.59,1173.92,1137.59,1168.38,13496,30.790039
11apr2001,1168.38,1182.24,1160.26,1165.89,12903,-2.4899902
12apr2001,1165.89,1183.51,1157.73,1183.5,11020,17.609985
16apr2001,1183.5,1184.64,1167.38,1179.6801,9139,-3.8199463
17apr2001,1179.6801,1192.25,1168.9,1191.8101,11096,12.130005
18apr2001,1191.8101,1248.42,1191.8101,1238.16,19189,46.349976
19apr2001,1238.16,1253.71,1233.39,1253.6899,14868,15.529907
20apr2001,1253.7,1253.7,1234.41,1242.98,13387,-10.709961
23apr2001,1242.98,1242.98,1217.47,1224.36,10126,-18.619995
24apr2001,1224.36,1233.54,1208.89,1209.47,12165,-14.890015
25apr2001,1209.47,1232.36,1207.38,1228.75,12036,19.280029
26apr2001,1228.75,1248.3,1228.75,1234.52,13452,5.7700195
27apr2001,1234.52,1253.0699,1234.52,1253.05,10913,18.530029
30apr2001,1253.05,1269.3,1243.99,1249.46,12668,-3.5900879
01may2001,1249.46,1266.47,1243.55,1266.4399,11813,16.97998
02may2001,1266.4399,1272.9301,1257.7,1267.4301,13422,.9901123
03may2001,1267.4301,1267.4301,1239.88,1248.58,11379,-18.850098
04may2001,1248.58,1267.51,1232,1266.61,10821,18.030029
07may2001,1266.61,1270,1259.1899,1263.51,9490,-3.0999756
08may2001,1266.71,1267.01,1253,1261.2,10063,-2.3100586
09may2001,1261.2,1261.65,1247.83,1255.54,11324,-5.6599121
10may2001,1255.54,1268.14,1254.5601,1255.1801,10567,-.35998535
11may2001,1255.1801,1259.84,1240.79,1245.67,9062,-9.5100098
14may2001,1245.67,1249.6801,1241.02,1248.92,8582,3.25
15may2001,1248.92,1257.45,1245.36,1249.4399,10718,.51989746
16may2001,1249.4399,1286.39,1243.02,1284.99,14053,35.550049
17may2001,1284.99,1296.48,1282.65,1288.49,13556,3.5
18may2001,1288.49,1292.0601,1281.15,1291.96,11308,3.4699707
21may2001,1291.96,1312.95,1287.87,1312.83,11749,20.869995
22may2001,1312.83,1315.9301,1306.89,1309.38,12604,-3.4499512
23may2001,1309.38,1309.38,1288.7,1289.05,11348,-20.329956
24may2001,1289.05,1295.04,1281.22,1293.17,11007,4.1199951
25may2001,1293.17,1293.17,1276.42,1277.89,8281,-15.280029
29may2001,1277.89,1278.42,1265.41,1267.9301,10260,-9.9599609
30may2001,1267.9301,1267.9301,1245.96,1248.08,11586,-19.850098
31may2001,1248.08,1261.91,1248.0699,1255.8199,12266,7.7399902
01jun2001,1255.8199,1265.34,1246.88,1260.67,10150,4.8500977
04jun2001,1260.67,1267.17,1256.36,1267.11,8365,6.4399414
05jun2001,1267.11,1286.62,1267.11,1283.5699,11168,16.459961
06jun2001,1283.5699,1283.85,1269.01,1270.03,10619,-13.539917
07jun2001,1270.03,1277.08,1265.08,1276.96,10896,6.9299316
08jun2001,1276.96,1277.11,1259.99,1264.96,7262,-12
11jun2001,1264.96,1264.96,1249.23,1254.39,8701,-10.569946
12jun2001,1254.39,1261,1235.75,1255.85,11365,1.4599609
13jun2001,1255.85,1259.75,1241.59,1241.6,10636,-14.25
14jun2001,1241.6,1241.6,1218.9,1219.87,12429,-21.72998
15jun2001,1219.87,1221.5,1203.03,1214.36,16355.5,-5.5100098
18jun2001,1214.36,1221.23,1208.33,1208.4301,11116,-5.9299316
19jun2001,1208.4301,1226.11,1207.71,1212.58,11849,4.1499023
20jun2001,1212.58,1225.61,1210.0699,1223.14,13501,10.560059
21jun2001,1223.14,1240.24,1220.25,1237.04,15468.2,13.900024
22jun2001,1237.04,1237.73,1221.41,1225.35,11892,-11.690063
25jun2001,1225.35,1231.5,1213.6,1218.6,10501,-6.75
26jun2001,1218.6,1220.7,1204.64,1216.76,11989,-1.8399658
27jun2001,1216.76,1219.92,1207.29,1211.0699,11621,-5.6900635
28jun2001,1211.0699,1234.4399,1211.0699,1226.2,13273,15.130005
29jun2001,1226.2,1237.29,1221.14,1224.38,18323.6,-1.8199463
02jul2001,1224.42,1239.78,1224.03,1236.72,11283,12.339966
03jul2001,1236.71,1236.71,1229.4301,1234.45,6221.1,-2.2700195
05jul2001,1234.45,1234.45,1219.15,1219.24,9349,-15.209961
06jul2001,1219.24,1219.24,1188.74,1190.59,10567,-28.650024
09jul2001,1190.59,1201.76,1189.75,1198.78,10457,8.1900635
10jul2001,1198.78,1203.4301,1179.9301,1181.52,12638,-17.26001
11jul2001,1181.52,1184.9301,1168.46,1180.1801,13841,-1.3399658
12jul2001,1180.1801,1210.25,1180.1801,1208.14,13940,27.959961
13jul2001,1208.14,1218.54,1203.61,1215.6801,11217,7.5400391
16jul2001,1215.6801,1219.63,1200.05,1202.45,10398,-13.230103
17jul2001,1202.45,1215.36,1196.14,1214.4399,12381,11.98999
18jul2001,1214.4399,1214.4399,1198.33,1207.71,13163,-6.7299805
19jul2001,1207.71,1225.04,1205.8,1215.02,13435,7.3100586
20jul2001,1215.02,1215.6899,1207.04,1210.85,11709,-4.1700439
23jul2001,1210.85,1215.22,1190.5,1191.03,9869,-19.819946
24jul2001,1191.03,1191.03,1165.54,1171.65,11987,-19.380005
25jul2001,1171.65,1190.52,1171.28,1190.49,12807,18.839966
26jul2001,1190.49,1204.1801,1182.65,1202.9301,12139,12.440063
27jul2001,1202.9301,1209.26,1195.99,1205.8199,10153,2.8898926
30jul2001,1205.8199,1209.05,1200.41,1204.52,9091,-1.2999268
31jul2001,1204.52,1222.74,1204.52,1211.23,11292,6.7099609
01aug2001,1211.23,1223.04,1211.23,1215.9301,13403,4.7000732
02aug2001,1215.9301,1226.27,1215.3101,1220.75,12183,4.8199463
03aug2001,1220.75,1220.75,1205.3101,1214.35,9399,-6.4000244
06aug2001,1214.35,1214.35,1197.35,1200.48,8117,-13.869995
07aug2001,1200.47,1207.5601,1195.64,1204.4,10120,3.9200439
08aug2001,1204.4,1206.79,1181.27,1183.53,11246,-20.869995
09aug2001,1183.53,1184.71,1174.6801,1183.4301,11042,-.099975586
10aug2001,1183.4301,1193.33,1169.55,1190.16,9609,6.7299805
13aug2001,1190.16,1193.8199,1185.12,1191.29,8376,1.1300049
14aug2001,1191.29,1198.79,1184.26,1186.73,9646,-4.5600586
15aug2001,1186.73,1191.21,1177.61,1178.02,10656,-8.7099609
16aug2001,1178.02,1181.8,1166.08,1181.66,10554,3.6400146
17aug2001,1181.66,1181.66,1156.0699,1161.97,9743,-19.690063
20aug2001,1161.97,1171.41,1160.9399,1171.41,8971,9.4400635
21aug2001,1171.41,1179.85,1156.5601,1157.26,10416,-14.150024
22aug2001,1157.26,1168.5601,1153.34,1165.3101,11108,8.0500488
23aug2001,1165.3101,1169.86,1160.96,1162.09,9862,-3.2200928
24aug2001,1162.09,1185.15,1162.09,1184.9301,10436,22.840088
27aug2001,1184.9301,1186.85,1178.0699,1179.21,8426,-5.7200928
28aug2001,1179.21,1179.66,1161.17,1161.51,9871,-17.699951
29aug2001,1161.51,1166.97,1147.38,1148.5601,9637,-12.949951
30aug2001,1148.6,1151.75,1124.87,1129.03,11570,-19.530029
31aug2001,1129.03,1141.83,1126.38,1133.58,9201,4.5499268
04sep2001,1133.58,1155.4,1129.0601,1132.9399,11783,-.64001465
05sep2001,1132.9399,1135.52,1114.86,1131.74,13845,-1.1999512
06sep2001,1131.74,1131.74,1105.83,1106.4,13597,-25.339966
07sep2001,1106.4,1106.4,1082.12,1085.78,14243,-20.619995
10sep2001,1085.78,1096.9399,1073.15,1092.54,12766,6.7600098
17sep2001,1092.54,1092.54,1037.46,1038.77,23308.3,-53.77002
18sep2001,1038.77,1046.42,1029.25,1032.74,16504.1,-6.0300293
19sep2001,1032.74,1038.91,984.62,1016.1,21205.5,-16.640015
20sep2001,1016.1,1016.1,984.48999,984.53998,20048,-31.559998
21sep2001,984.53998,984.53998,944.75,965.79999,23173,-18.73999
24sep2001,965.79999,1008.44,965.79999,1003.45,17466,37.650024
25sep2001,1003.45,1017.14,998.33002,1012.27,16138,8.8200073
26sep2001,1012.27,1020.29,1002.62,1007.04,15191,-5.2300415
27sep2001,1007.04,1018.92,998.23999,1018.61,14670,11.570007
28sep2001,1018.61,1040.9399,1018.61,1040.9399,16315,22.329956
01oct2001,1040.9399,1040.9399,1026.76,1038.55,11756,-2.3898926
02oct2001,1038.55,1051.33,1034.47,1051.33,12898,12.779907
03oct2001,1051.33,1075.38,1041.48,1072.28,16506,20.950073
04oct2001,1072.28,1084.12,1067.8199,1069.63,16091,-2.6500244
05oct2001,1069.62,1072.35,1053.5,1071.38,13017,1.75
08oct2001,1071.37,1071.37,1056.88,1062.4399,9790,-8.9400635
09oct2001,1062.4399,1063.37,1053.83,1056.75,12278,-5.6899414
10oct2001,1056.75,1081.62,1052.76,1080.99,13124,24.23999
11oct2001,1080.99,1099.16,1080.99,1097.4301,17045.8,16.440063
12oct2001,1097.4301,1097.4301,1072.15,1091.65,13314,-5.7800293
15oct2001,1091.65,1091.65,1078.1899,1089.98,10247,-1.6700439
16oct2001,1089.98,1101.66,1087.13,1097.54,12105,7.5600586
17oct2001,1097.54,1107.12,1076.5699,1077.09,14522,-20.450073
18oct2001,1077.09,1077.9399,1064.54,1068.61,12629,-8.4799805
19oct2001,1068.61,1075.52,1057.24,1073.48,12949,4.8699951
22oct2001,1073.48,1090.5699,1070.79,1089.9,11057,16.420044
23oct2001,1089.9,1098.99,1081.53,1084.78,13173,-5.1199951
24oct2001,1084.78,1090.26,1079.98,1085.2,13362,.41992188
25oct2001,1085.2,1100.09,1065.64,1100.09,13644,14.890015
26oct2001,1100.09,1110.61,1094.24,1104.61,12445,4.5200195
29oct2001,1104.61,1104.61,1078.3,1078.3,11061,-26.309937
30oct2001,1078.3,1078.3,1053.61,1059.79,12974,-18.51001
31oct2001,1059.79,1074.79,1057.55,1059.78,13525,-.010009766
01nov2001,1059.78,1085.61,1054.3101,1084.1,13174,24.319946
02nov2001,1084.1,1089.63,1075.58,1087.2,11219,3.0999756
05nov2001,1087.2,1106.72,1087.2,1102.84,12677,15.640015
06nov2001,1102.84,1119.73,1095.36,1118.86,13560,16.02002
07nov2001,1118.86,1126.62,1112.98,1115.8,14113,-3.0599365
08nov2001,1115.8,1135.75,1115.42,1118.54,15175,2.7399902
09nov2001,1118.54,1123.02,1111.13,1120.3101,10938,1.7700195
12nov2001,1120.3101,1121.71,1098.3199,1118.33,9916,-1.9801025
13nov2001,1118.33,1139.14,1118.33,1139.09,13701,20.76001
14nov2001,1139.09,1148.28,1132.87,1141.21,14434,2.1199951
15nov2001,1141.21,1146.46,1135.0601,1142.24,14545,1.0300293
16nov2001,1142.24,1143.52,1129.92,1138.65,13374,-3.5899658
19nov2001,1138.65,1151.0601,1138.65,1151.0601,13168,12.410034
20nov2001,1151.0601,1152.45,1142.17,1142.66,13302,-8.4000244
21nov2001,1142.66,1142.66,1129.78,1137.03,10293,-5.6300049
23nov2001,1137.03,1151.05,1135.9,1150.34,4103,13.309937
26nov2001,1150.34,1157.88,1146.17,1157.42,11298,7.0800781
27nov2001,1157.42,1163.38,1140.8101,1149.5,12880,-7.9200439
28nov2001,1149.5,1149.5,1128.29,1128.52,14237,-20.97998
29nov2001,1128.52,1140.4,1125.51,1140.2,13757,11.679932
30nov2001,1140.2,1143.5699,1135.89,1139.45,13436,-.75
03dec2001,1139.45,1139.45,1125.78,1129.9,12029,-9.5499268
04dec2001,1129.9,1144.8,1128.86,1144.8,13185,14.900024
05dec2001,1143.77,1173.62,1143.77,1170.35,17653,25.549927
06dec2001,1170.35,1173.35,1164.4301,1167.1,14879,-3.25
07dec2001,1167.1,1167.1,1152.66,1158.3101,12482,-8.789917
10dec2001,1158.3101,1158.3101,1139.66,1139.9301,12187,-18.380005
11dec2001,1139.9301,1150.89,1134.3199,1136.76,13672,-3.1700439
12dec2001,1136.76,1141.58,1126.01,1137.0699,14497,.30993652
13dec2001,1137.0699,1137.0699,1117.85,1119.38,15115,-17.689941
14dec2001,1119.38,1128.28,1114.53,1123.09,13068,3.7099609
17dec2001,1123.09,1137.3,1122.66,1134.36,12604,11.27002
18dec2001,1134.36,1145.1,1134.36,1142.92,13540,8.5600586
19dec2001,1142.92,1152.4399,1134.75,1149.5601,14849,6.6400146
20dec2001,1149.5601,1151.42,1139.9301,1139.9301,14905,-9.6300049
21dec2001,1139.9301,1147.46,1139.9301,1144.89,16940,4.9599609
24dec2001,1144.89,1147.83,1144.62,1144.65,4396.7,-.23999023
26dec2001,1144.65,1159.1801,1144.65,1149.37,7911,4.7199707
27dec2001,1149.37,1157.13,1149.37,1157.13,8763,7.7600098
28dec2001,1157.13,1164.64,1157.13,1161.02,9174,3.8900146
31dec2001,1161.02,1161.16,1148.04,1148.08,9436,-12.940063
